name,url,description
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"Home Products Product Catalog Apprentice + 8.0 Job Focused Assessment Description The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for c"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"Home Products Product Catalog Apprentice 8.0 Job Focused Assessment Description The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship mo"
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,"Home Products Product Catalog Bank Administrative Assistant - Short Form Description The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, manag"
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,"Home Products Product Catalog Bank Collections Agent - Short Form Description This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability"
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,"Home Products Product Catalog Bank Operations Supervisor - Short Form Description The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning a"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"Home Products Product Catalog Bilingual Spanish Reservation Agent Solution Description The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in "
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Home Products Product Catalog Bookkeeping, Accounting, Auditing Clerk Short Form Description The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job i"
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,"Home Products Product Catalog Branch Manager - Short Form Description This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team managemen"
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,"Home Products Product Catalog Cashier Solution Description The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offe"
,https://www.shl.com/products/product-catalog/?start=12&type=2,Home Products Product Catalog Search by keyword... Keyword Search Reset all Search by choosing one or more... Job Family Select... Job Level Select... Industry Select... Language Select... Search Reset all Search by job by title... Job Category Select... Search Reset all Pre-packaged Job Solutions R
,https://www.shl.com/products/product-catalog/?start=24&type=2,Home Products Product Catalog Search by keyword... Keyword Search Reset all Search by choosing one or more... Job Family Select... Job Level Select... Industry Select... Language Select... Search Reset all Search by job by title... Job Category Select... Search Reset all Pre-packaged Job Solutions R
,https://www.shl.com/products/product-catalog/?start=132&type=2,Home Products Product Catalog Search by keyword... Keyword Search Reset all Search by choosing one or more... Job Family Select... Job Level Select... Industry Select... Language Select... Search Reset all Search by job by title... Job Category Select... Search Reset all Pre-packaged Job Solutions R
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"Home Products Product Catalog Global Skills Development Report Description This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their c"
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,"Home Products Product Catalog .NET Framework 4.5 Description The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance,"
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,"Home Products Product Catalog .NET MVC (New) Description Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length A"
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,"Home Products Product Catalog .NET MVVM (New) Description Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length A"
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,"Home Products Product Catalog .NET WCF (New) Description Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment l"
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,"Home Products Product Catalog .NET WPF (New) Description Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications. Job levels Mid-Professional, Professional Individual Contributor, Languages Engli"
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,"Home Products Product Catalog .NET XAML (New) Description Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Tim"
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"Home Products Product Catalog Accounts Payable (New) Description Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries. Job levels Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Languages English"
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,"Home Products Product Catalog Accounts Payable Simulation (New) Description Simulated data entry test that measures the ability to process payables and vendor invoices. Job levels Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length"
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,"Home Products Product Catalog Accounts Receivable (New) Description Multiple-choice test that measures the knowledge of processing receivables and invoices. Job levels Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate"
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,"Home Products Product Catalog Accounts Receivable Simulation (New) Description Simulated data entry test that measures the ability to process receivables and invoices. Job levels Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length "
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,"Home Products Product Catalog ADO.NET (New) Description Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximat"
,https://www.shl.com/products/product-catalog/?start=12&type=1,Home Products Product Catalog Search by keyword... Keyword Search Reset all Search by choosing one or more... Job Family Select... Job Level Select... Industry Select... Language Select... Search Reset all Search by job by title... Job Category Select... Search Reset all Individual Test Solutions Re
,https://www.shl.com/products/product-catalog/?start=24&type=1,Home Products Product Catalog Search by keyword... Keyword Search Reset all Search by choosing one or more... Job Family Select... Job Level Select... Industry Select... Language Select... Search Reset all Search by job by title... Job Category Select... Search Reset all Individual Test Solutions Re
,https://www.shl.com/products/product-catalog/?start=372&type=1,Home Products Product Catalog Search by keyword... Keyword Search Reset all Search by choosing one or more... Job Family Select... Job Level Select... Industry Select... Language Select... Search Reset all Search by job by title... Job Category Select... Search Reset all Individual Test Solutions Re
