name,url,description,test_type,category
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,"Home Products Product Catalog .NET MVC (New) Description Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length A",K,Individual Test Solution
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,"Home Products Product Catalog .NET MVVM (New) Description Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length A",K,Individual Test Solution
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,"Home Products Product Catalog .NET WCF (New) Description Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment l",K,Individual Test Solution
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,"Home Products Product Catalog .NET WPF (New) Description Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications. Job levels Mid-Professional, Professional Individual Contributor, Languages Engli",K,Individual Test Solution
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,"Home Products Product Catalog .NET XAML (New) Description Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Tim",K,Individual Test Solution
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"Home Products Product Catalog Accounts Payable (New) Description Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries. Job levels Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Languages English",K,Individual Test Solution
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,"Home Products Product Catalog Accounts Payable Simulation (New) Description Simulated data entry test that measures the ability to process payables and vendor invoices. Job levels Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length",K,Individual Test Solution
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,"Home Products Product Catalog Accounts Receivable (New) Description Multiple-choice test that measures the knowledge of processing receivables and invoices. Job levels Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate",K,Individual Test Solution
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,"Home Products Product Catalog Accounts Receivable Simulation (New) Description Simulated data entry test that measures the ability to process receivables and invoices. Job levels Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length ",K,Individual Test Solution
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,"Home Products Product Catalog ADO.NET (New) Description Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximat",K,Individual Test Solution
